상호명,도로명주소,업종,전화번호,경도,위도
클린에어존,"경기 용인시 기흥구 동백8로 27,1501-401 (동백동)",용역 서비스 - 종합용역,02-2157-8272,127.1549698,37.2867526
루라헤어,"경기 용인시 기흥구 평촌2로1번길 17-1,101호 (동백동)",보건위생 - 미용원,031-282-0709,127.1545409,37.2805868
조영일도예공방,경기 용인시 기흥구 동백중앙로 421 (동백동),문화.취미 - 민예?공예품,031-261-7705,127.1623931,37.287717
커피로,경기 용인시 기흥구 평촌2로1번길 4-6 (동백동),일반휴게음식 - 서양음식,070-8810-5171,127.1528595,37.2814937
강남왕족발,"경기 용인시 기흥구 동백중앙로 358-19 .1층 103호 (동백동,미래도프라자)",일반휴게음식 - 일반한식,031-274-0109,127.1608964,37.2815742
신개념푸줏간,"경기 용인시 기흥구 동백7로 77 (동백동,여강빌딩)",음료식품 - 정육점,000-000-000,127.1597818,37.2818567
에뽕버거 순수치킨 용인동백점,"경기 용인시 기흥구 동백중앙로 358-12 유타운상가 108,203호(동백동)",일반휴게음식 - 일반한식,031-282-9494,127.1601975,37.2819869
주식회사 탑클래스교육,"경기 용인시 기흥구 동백중앙로 358-19,504- 506 호(동백동,미래도프라자)",학원 - 보습학원,031-693-8111,127.1608964,37.2815742
지엠티코리아,"경기 용인시 기흥구 평촌2로2번길 7-14,102 (동백동)",주방용구 - 주방용구,031-281-5546,127.1524919,37.2825918
포아이플러스학원,"경기 용인시 기흥구 동백중앙로 358-12,401,402호(동백동,백현마을유타운상가)",학원 - 보습학원,031-286-0141,127.1601975,37.2819869
님의캘리,경기 용인시 기흥구 평촌2로2번길 11-14 (동백동),일반휴게음식 - 서양음식,031-000-0000,127.1525028,37.282973
한국체대 캡틴 태권도,"경기 용인시 기흥구 평촌1로1번길 11, 1층 (동백동)",학원 - 예?체능계학원,031-8005-7004,127.1529393,37.2833654
더도노스튜디오(the dono studio),경기 용인시 기흥구 동백죽전대로 455-12 동문굿모닝힐상가 103호 (동백동),일반휴게음식 - 일반한식,031-8005-9939,127.1507416,37.2796897
동백중국어교습소,"경기 용인시 기흥구 동백8로 90 상가동 202호 (동백동,백현마을모아미래도아파트)",학원 - 외국어학원,070-7868-5789,127.1601613,37.2831463
운동화 & 이불세탁,"경기 용인시 기흥구 평촌2로1번길 17,1층 102호 (동백동)",수리서비스 - 세탁소,031-287-2242,127.1544345,37.2806734
미플러스,"경기 용인시 기흥구 동백7로 73, 302호 (동백동,경안빌딩)",보건위생 - 화장품,031-274-8683,127.1595859,37.2820153
보길로 555,"경기 용인시 기흥구 동백7로 83,109-1호 (동백동,중앙프라자)",일반휴게음식 - 일반한식,031-284-3555,127.1604196,37.2816463
쿨마트,"경기 용인시 기흥구 동백8로 101,105호 2단지상가 (동백동,백현마을주공아파트)",유통업 영리 - 슈퍼마켓,,127.1620613,37.2840729
동백예일음악학원,"경기 용인시 기흥구 동백중앙로 358-19,605,606호 (동백동,미래도프라자)",학원 - 예?체능계학원,031-287-5437,127.1608964,37.2815742
예인음악학원,"경기 용인시 기흥구 동백7로 73,3층 302호 (동백동,경안빌딩)",학원 - 예?체능계학원,031-693-8411,127.1595859,37.2820153
뮤코카페협동조합,"경기 용인시 기흥구 평촌3로 5-13,1층 (동백동)",일반휴게음식 - 서양음식,031-275-8007,127.1532562,37.280229
알통떡강정,"경기 용인시 기흥구 동백중앙로 358-5 상가동 102-2호 (동백동,백현마을모아미래도아파트)",일반휴게음식 - 일반한식,031-287-0707,127.1600241,37.2824711
쿨마트,"경기 용인시 기흥구 동백8로 101 상가동 105호 (동백동,백현마을주공7단지아파트)",유통업 영리 - 슈퍼마켓,031-287-3060,127.1620613,37.2840729
더제이숍 (The J Shop),경기 용인시 기흥구 평촌2로1번길 24-1 (동백동),의류 - 정장,031-885-4403,127.1539784,37.2801012
CAE영어교습소,"경기 용인시 기흥구 동백8로 90,202호 (동백동,모아미래도상가)",학원 - 외국어학원,,127.1601613,37.2831463
루앙쥬,"경기 용인시 기흥구 평촌1로8번길 2, 1층 (동백동)",일반휴게음식 - 서양음식,031-281-1009,127.1530842,37.2842942
쌔카스팀세차 용인동백점,"경기 용인시 기흥구 평촌3로 23,1층 (동백동)",자동차정비 유지 - 세차장,02-1855-3782,127.1529447,37.2797391
삼부자황제갈비살(동백본점),"경기 용인시 기흥구 평촌2로1번길 25,1층 (동백동)",일반휴게음식 - 일반한식,031-8005-9492,127.1541872,37.279981
막강영수전문학원,"경기 용인시 기흥구 동백7로 83,306호 (동백동,중앙프라자)",학원 - 보습학원,070-0591-0774,127.1604196,37.2816463
바흐피아노교습소,"경기 용인시 기흥구 동백7로 100 상가동 201호 (동백동,백현마을한라비발디아파트)",학원 - 예?체능계학원,031-287-0160,127.1614974,37.2802787
주식회사 엘티씨퍼포먼스,"경기 용인시 기흥구 동백중앙로 358-19,302호 (동백동,미래도프라자)",레저업소 - 헬스클럽,031-284-8837,127.1608964,37.2815742
동백푸드,경기 용인시 기흥구 평촌2로2번길 7-4 (동백동),일반휴게음식 - 일반한식,031-275-8955,127.1532018,37.2826049
돼지갈비맛있는집,"경기 용인시 기흥구 평촌2로2번길 7-14,1층 (동백동)",일반휴게음식 - 일반한식,031-284-1592,127.1524919,37.2825918
블럭제빵소,"경기 용인시 기흥구 동백중앙로 358-8, 1층 102호 (동백동,백현프라자)",음료식품 - 제과점,031-282-7111,127.160035,37.2820403
삼성동백호수영어교습소,"경기 용인시 기흥구 동백7로 58 상가동 105호 (동백동,호수마을서해그랑블아파트)",학원 - 외국어학원,031-308-3405,127.1577116,37.2825957
이남장 용인,경기 용인시 기흥구 석성로521번길 6 (동백동),일반휴게음식 - 일반한식,031-274-2112,127.1573091,37.2887694
자동차외형복원,"경기 용인시 기흥구 평촌1로8번길 8, 1층 (동백동)",자동차정비 유지 - 자동차정비,031-693-6907,127.1531166,37.284852
옛날통닭,"경기 용인시 기흥구 동백중앙로 358-8,104호 (동백동,백현프라자)",일반휴게음식 - 스넥,031-274-5655,127.160035,37.2820403
리드앤톡영어학원,"경기 용인시 기흥구 동백중앙로 358-8,303호 (동백동,백현프라자)",학원 - 외국어학원,031-285-0535,127.160035,37.2820403
스튜디오 엘 (studio.L),"경기 용인시 기흥구 동백7로 100 상가동 204호 (동백동,백현마을한라비발디아파트)",문화.취미 - 문화취미기타,070-4211-5755,127.1614974,37.2802787
고마워아이야,"경기 용인시 기흥구 평촌2로 3,103호 (동백동)",음료식품 - 기타음료식품,031-238-2848,127.153366,37.2817123
성경만두요리전문점 동백점,"경기 용인시 기흥구 동백7로 83,211호 (동백동,중앙프라자)",일반휴게음식 - 일반한식,,127.1604196,37.2816463
살롱드마르셸,"경기 용인시 기흥구 평촌2로1번길 5,103호 (동백동)",보건위생 - 미용원,031-000-0000,127.1537583,37.2815086
다빈치교육사,"경기 용인시 기흥구 평촌2로1번길 4-10,102호 (동백동)",서적문구 - 기타서적문구,031-284-9898,127.1525793,37.281444
7번가 피자 동백점,"경기 용인시 기흥구 평촌1로2번길 10,1층 (동백동)",일반휴게음식 - 서양음식,031-287-7772,127.1535845,37.2849762
창의수학영어학원,"경기 용인시 기흥구 동백중앙로 358-8,4층 3호 (동백동,동백 백현프라자)",학원 - 보습학원,031-285-4007,127.160035,37.2820403
참선진,"경기 용인시 기흥구 평촌2로2번길 11-20,102호 (동백동)",음료식품 - 기타음료식품,031-281-8111,127.1521453,37.2829933
팔팔불고기,"경기 용인시 기흥구 석성로521번길 6,2층 (동백동)",일반휴게음식 - 일반한식,031-274-2112,127.1573091,37.2887694
이수떡볶이,"경기 용인시 기흥구 평촌1로8번길 5-5,102호 (동백동)",음료식품 - 기타음료식품,070-8879-1949,127.1526482,37.2844488
이투스수학동백학원,"경기 용인시 기흥구 동백7로 73,402호 (동백동,경안빌딩)",학원 - 보습학원,031-282-3567,127.1595859,37.2820153
모두엔 (MODU&),"경기 용인시 기흥구 평촌1로8번길 11-10,1층 (동백동)",일반휴게음식 - 서양음식,070-8615-9561,127.1525257,37.2854128
